# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Ardyn, the Usurper	PFIN	89s	FIN	89
Arena of Glory	PMH3	215s	MH3	215
Arenson's Aura	PTC	shr3sb	5ED	6
Argent Dais	PMH3	20s	MH3	20
Argentum Masticore	PONE	222p	ONE	222
Argentum Masticore	PONE	222s	ONE	222
Argoth, Sanctum of Nature	PBRO	256s	BRO	256
Arguel's Blood Fast // Temple of Aclazotz	PXLN	90s	XLN	90
Arid Mesa	PMH2	244s	MH2	244
Arixmethes, Slumbering Isle	MUL	162z	MUL	162
Ark of Hunger	PSOS	173p	SOS	173
Arlinn Kord // Arlinn, Embraced by the Moon	PSOI	243s	SOI	243
Arlinn, Voice of the Pack	PWAR	150s	WAR	150
Arlinn, the Pack's Hope // Arlinn, the Moon's Fury	PMID	211s	MID	211
Armageddon	CED	2	2ED	2
Armageddon	CEI	2	2ED	2
Armageddon	PTC	bl5	4ED	5
Armageddon	PTC	pp5	4ED	5
Armageddon	PTC	pp5sb	2ED	2
Armageddon	SUM	2	2ED	2
Armageddon	WC00	nl4sb	2ED	2
Armageddon	WC98	bh7asb	2ED	2
Armageddon Clock	SUM	234	3ED	234
Army of the Damned	FDC	85	C13	69
Arna Kennerüd, Skycaptain	PMH3	178s	MH3	178
Arni Brokenbrow	PKHM	120p	KHM	120
Arni Brokenbrow	PKHM	120s	KHM	120
Arrogant Wurm	WC03	dh120	TOR	120
Artist's Talent	PBLB	124p	BLB	124
Artist's Talent	PBLB	124s	BLB	124
Arvad the Cursed	PDOM	191s	DOM	191
Arwen, Mortal Queen	LTR	742z	LTR	742
Arwen, Mortal Queen	PLTR	193s	LTR	193
Aryel, Knight of Windgrace	PDOM	192s	DOM	192
As Foretold	PAKH	42s	AKH	42
As Luck Would Have It	ULST	33	UST	102
Ascend from Avernus	PCLB	5s	CLB	5
Ascendant Evincar	10E	127★	10E	127
Ascendant Packleader	PVOW	186p	VOW	186
Ascendant Packleader	PVOW	186s	VOW	186
Ascendant Spirit	PKHM	43p	KHM	43
Ascendant Spirit	PKHM	43s	KHM	43
Ash Barrens	40K	265★	40K	265
Ashaya, Soul of the Wild	PZNR	179p	ZNR	179
Ashaya, Soul of the Wild	PZNR	179s	ZNR	179
Ashes of the Abhorrent	PXLN	2p	XLN	2
Ashes of the Abhorrent	PXLN	2s	XLN	2
Ashes to Ashes	PTC	ll33sb	4ED	119
Ashiok's Erasure	PTHB	43p	THB	43
Ashiok's Erasure	PTHB	43s	THB	43
Ashiok, Dream Render	PWAR	228s	WAR	228
Ashiok, Nightmare Muse	PTHB	208p	THB	208
Ashiok, Nightmare Muse	PTHB	208s	THB	208
Ashiok, Wicked Manipulator	PWOE	78p	WOE	78
Ashiok, Wicked Manipulator	PWOE	78s	WOE	78
Ashling's Command	PECL	205p	ECL	205
Ashling, Flame Dancer	PMH3	115s	MH3	115
